Entidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Mexico-Aguascalientes,12.1,15,17,19.8,23.3,21.9,21,20.6,20.2,18.8,15.9,15.1
Mexico-Baja_California,13.8,18.8,17.7,19.3,20.2,27.3,29,28.8,25.9,24.4,19.8,14.6
Mexico-Baja_California_Sur,17.7,21.1,21.1,22.2,23.6,27.5,30.1,29.6,28.5,27.9,23.4,19.1
Mexico-Campeche,23.9,23.9,28.4,30.2,31.5,29.8,29.5,29.4,29,27.6,26.5,26.9
Mexico-Chiapas,22.9,23,26.5,27.9,28.3,26.2,26.3,26.1,25.7,25.3,24.2,23.8
Mexico-Chihuahua,9.5,13.8,16.9,19.4,22.5,26.1,26.4,23.7,23.1,20.6,15.2,12.5
Mexico-Coahuila_de_Zaragoza,12.4,16.4,20.4,22.7,25.4,27.6,29.8,27.5,26.1,23.1,18.6,15.5
Mexico-Colima,24.8,26.1,25,26.4,27.7,28.8,28.9,28.6,28.3,29,27.6,26.3
Mexico-Durango,10.5,14.6,16.7,19.3,22.1,23.5,23.7,22.1,21.7,19.8,16.1,14.1
Mexico-Guanajuato,14.2,15.6,18.1,21.1,23.7,21.9,21,20.8,20.5,19.4,16.9,16.8
Mexico-Guerrero,24,25.2,25.1,27.1,28.3,26.6,26.1,25.9,25.4,25.7,25,24.9
Mexico-Hidalgo,13.8,14.9,18.5,20.9,22.6,20.7,21,20.7,20.3,18.6,16.4,16.4
Mexico-Jalisco,17.2,18.8,19.9,22.4,25.3,24.3,23.2,23.1,22.9,22.5,19.7,18.6
Mexico-Mexico_City,14.1,15.8,17.4,20.1,20.9,18.9,18.8,19.2,18.9,17.9,15.7,16.6
Mexico-Michoacan_de_Ocampo,17.2,19,19.3,22.1,24.3,22.9,21.9,22.1,21.7,21.3,19.2,18.6
Mexico-Morelos,18.2,20.7,22.5,25.1,25.9,23.2,22.8,22.4,22,22.2,20.6,21.1
Mexico-Nayarit,20.4,23.9,23.5,25.7,28.5,29.1,28.5,28.3,28.1,28.1,26.1,23
Mexico-Nuevo_Leon,14.1,17.5,21.6,23.9,26,27.1,29.5,28.1,26.8,23.9,20.4,16.6
Mexico-Oaxaca,21.9,21.9,25.2,27.2,28.2,26.3,26.2,25.6,24.9,24.3,23.5,23.3
Mexico-Puebla,14.7,15.6,18.2,20.2,21.5,19.7,19.6,19.5,19.1,18.2,16.8,16.9
Mexico-Queretaro_de_Arteaga,14.8,16.2,18.7,22.4,24.9,22.3,21.9,21.5,21.1,20.5,17.6,17.4
Mexico-Quintana_Roo,24.3,23.6,26.9,27.8,28.6,27.6,28.8,29.8,29.7,28.2,26.5,26.9
Mexico-San_Luis_Potosi,16.2,17.9,22.7,24.6,27,25.7,26.4,25.8,25,23.4,20,19.8
Mexico-Sinaloa,19.1,22.4,22.8,24.7,27.4,30.5,30.4,29.6,29.4,29.4,25.8,21.5
Mexico-Sonora,13.9,19,19.6,21.4,24,30.2,30.8,29.1,27.4,26,19.9,15.6
Mexico-State_Of_Mexico,11.6,12.5,14.3,16.6,17.8,15.9,15.8,16.1,15.7,14.7,12.8,13.7
Mexico-Tabasco,23.3,23.4,27.4,29.1,30.3,28.8,29,28.7,28,27.3,25.5,25.8
Mexico-Tamaulipas,16.8,19.4,23.6,25.9,27.9,28.4,30,29.6,28.8,26.6,23.1,20.6
Mexico-Tlaxcala,12.3,14.3,14.9,17.5,18.8,16.8,16.9,17.1,16.7,15.6,14.2,14.2
Mexico-Veracruz_de_Ignacio_de_la_Llave,18.3,19.1,23.3,25.4,27.1,25.8,25.8,25.6,25,23.7,21.8,21.4
Mexico-Yucatan,23.1,22.8,27.1,28.7,30.1,29.2,29.3,28.8,28.5,27.1,25.4,26
Mexico-Zacatecas,10.6,14.2,15.8,18.5,21.7,21,20.5,20,19.3,17.9,15,14.3
